"SYMBOL","UNDERLYING ASSET","OPEN","HIGH","LOW","PREV. CLOSE","LTP","INDICATIVE CLOSE","CHNG","%CHNG","VOLUME","VALUE (₹ Crores)","NAV","52W H","52W L","30D %CHNG","365 D","365 D % CHNG","30 D"
"NIFTY50ADD","Nifty 50 Index","242.09","247.33","240.91","242.19","246.37","-","4.18","1.73","15,520","0.38","242.60","278.30","217.84",4.25,"16-Apr-2024","8.29","18-Mar-2025"
"BANKBETF","Bajaj Finserv Nifty Bank ETF","53.50","54.74","53.31","53.51","54.43","-","0.92","1.72","73,730","0.40","53.42","62.13","41.51",10.09,"16-Apr-2024","15.19","18-Mar-2025"
"HDFCBSE500","HDFC S&P BSE 500 ETF","34.09","34.77","33.71","33.97","34.55","-","0.58","1.71","46,038","0.16","34.18","44.40","31.14",4.75,"16-Apr-2024","5.90","18-Mar-2025"
"CONSUMIETF","Nifty India Consumption Index","113.70","115.94","113.33","113.86","115.80","-","1.94","1.70","26,009","0.30","113.93","154.00","101.23",7.24,"16-Apr-2024","12.37","18-Mar-2025"
"NIFTYBEES","Nifty 50","262.94","266.79","260.60","261.91","266.36","-","4.45","1.70","98,18,354","259.84","262.32","293.99","231.30",4.19,"16-Apr-2024","8.56","18-Mar-2025"
"LICNETFN50","Nifty 50","257.96","263.13","257.96","257.96","262.31","-","4.35","1.69","1,015","0.03","258.50","326.00","230.00",4.45,"16-Apr-2024","9.03","18-Mar-2025"
"NIFTYBETF","Bajaj Finserv Nifty 50 ETF","236.25","241.02","235.63","237.02","241.02","-","4.00","1.69","8,179","0.20","237.04","273.52","217.56",4.28,"16-Apr-2024","8.43","18-Mar-2025"
"HDFCPSUBK","HDFC NIFTY PSU BANK ETF","64.36","65.56","64.18","64.32","65.40","-","1.08","1.68","64,652","0.42","64.42","81.65","55.68",10.4,"16-Apr-2024","-6.22","18-Mar-2025"
"NIFTYETF","Nifty 50","251.99","255.19","249.00","250.03","254.22","-","4.19","1.68","2,36,957","6.00","250.50","283.80","226.00",4.55,"16-Apr-2024","8.77","18-Mar-2025"
"ESG","NIFTY100 ESG SECTOR LEADERS","40.15","40.45","39.47","39.67","40.33","-","0.66","1.66","16,340","0.07","39.69","44.74","35.70",4.54,"16-Apr-2024","9.30","18-Mar-2025"
"AXSENSEX","AXIS S&P BSE SENSEX ETF","78.60","80.11","78.59","78.71","80.00","-","1.29","1.64","2,105","0.02","78.55","98.00","66.40",4.19,"16-Apr-2024","8.71","18-Mar-2025"
"HDFCNIFTY","Nifty 50","260.99","264.10","258.06","259.73","264.00","-","4.27","1.64","90,058","2.35","259.55","292.45","235.70",4.28,"16-Apr-2024","8.55","18-Mar-2025"
"NETF","Tata Nifty 50 Exchange Traded Fund","247.00","260.80","247.00","250.28","254.31","-","4.03","1.61","18,306","0.47","250.81","282.96","227.05",3.91,"16-Apr-2024","8.28","18-Mar-2025"
"AXISNIFTY","Nifty 50","257.32","259.77","253.41","254.78","258.86","-","4.08","1.60","18,224","0.47","254.93","288.50","234.47",4.42,"16-Apr-2024","8.56","18-Mar-2025"
"SBIBPB","BSE PSU Bank Index TRI","37.02","37.78","36.95","37.02","37.61","-","0.59","1.59","1,567","0.01","37.10","37.78","34.37","-","-","-","-"
"NIF100IETF","Nifty 100","27.35","27.35","26.00","26.53","26.95","-","0.42","1.58","2,63,930","0.71","26.55","34.57","23.85",4.26,"16-Apr-2024","-89.29","18-Mar-2025"
"MSCIINDIA","MSCI India Index","27.52","28.00","27.49","27.52","27.95","-","0.43","1.56","7,459","0.02","27.56","29.00","25.60",4.76,"-","-","18-Mar-2025"
"PSUBANK","Nifty PSU Bank","639.51","650.50","637.70","640.01","650.00","-","9.99","1.56","17,687","1.14","638.88","896.99","552.00",10.19,"16-Apr-2024","-6.00","18-Mar-2025"
"BSE500IETF","S&P BSE 500 index","36.31","36.53","35.60","35.96","36.51","-","0.55","1.53","1,41,185","0.51","35.98","47.60","33.00",4.59,"16-Apr-2024","6.42","18-Mar-2025"
"SBINEQWETF","Nifty50 Equal Weight","30.08","30.08","29.20","29.49","29.94","-","0.45","1.53","40,358","0.12","29.52","34.57","27.30",4.44,"-","-","18-Mar-2025"
"IDFNIFTYET","Nifty 50","253.57","258.84","253.57","254.38","258.24","-","3.86","1.52","1,238","0.03","254.67","298.84","230.00",3.96,"16-Apr-2024","8.25","18-Mar-2025"
"SHARIABEES","Shariah","492.98","493.00","480.03","485.65","493.00","-","7.35","1.51","5,898","0.29","486.03","617.70","439.91",1.53,"16-Apr-2024","2.37","18-Mar-2025"
"AXISCETF","NIFTY India Consumption Index","113.33","115.15","113.09","113.28","114.95","-","1.67","1.47","2,119","0.02","113.43","140.00","101.00",7.1,"16-Apr-2024","11.79","18-Mar-2025"
"NV20","Nifty50 Value 20","140.00","142.41","139.50","140.33","142.39","-","2.06","1.47","20,577","0.29","140.54","169.00","131.11",0.47,"16-Apr-2024","3.66","18-Mar-2025"
"NV20IETF","Nifty50 Value 20","13.99","13.99","13.62","13.74","13.94","-","0.20","1.46","5,40,435","0.75","13.75","17.11","11.20",0.22,"16-Apr-2024","3.80","18-Mar-2025"
"NIFTY1","Nifty 50","256.10","259.97","253.56","256.11","259.70","-","3.59","1.40","34,806","0.90","255.46","287.68","235.26",4.21,"16-Apr-2024","8.67","18-Mar-2025"
